country,state,city,utc,parameter,value,unit,latitude,longitude,attribution
US,Washington,Seattle,2018-10-02T08:00:00Z,pm25,2.2,µg/m,48.246799,-121.603104,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Washington Department of Ecology""}]"
US,Washington,Seattle,2019-10-02T08:00:00Z,pm25,7,µg/m,48.246799,-121.603104,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Washington Department of Ecology""}]"
US,Washington,Seattle,2020-10-02T08:00:00Z,pm25,33,µg/m,48.246799,-121.603104,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Washington Department of Ecology""}]"
US,West Virginia,,,,,,,,
US,Wisconsin,Madison,2018-10-02T09:00:00Z,pm25,4,µg/m,43.809486,-111.800475,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Idaho Department of Environmental Quality""}]"
US,Wisconsin,Madison,2019-10-02T21:00:00Z,pm25,5.8,µg/m,43.809486,-111.800475,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Idaho Department of Environmental Quality""}]"
US,Wisconsin,Madison,2020-10-01T16:00:00Z,pm25,8.8,µg/m,43.809486,-111.800475,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Idaho Department of Environmental Quality""}]"
US,Wyoming,Cheyenne,2018-10-02T17:00:00Z,pm25,3,µg/m,41.18222,-104.778336,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Wyoming Department of Environmental Quality""}]"
US,Wyoming,Cheyenne,2019-10-02T12:00:00Z,pm25,4,µg/m,41.18222,-104.778336,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Wyoming Department of Environmental Quality""}]"
US,Wyoming,Cheyenne,2020-10-02T04:00:00Z,pm25,7,µg/m,41.18222,-104.778336,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Wyoming Department of Environmental Quality""}]"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
