country,state,city,utc,parameter,value,unit,latitude,longitude,attribution
US,Indiana,Indianapolis,2018-10-02T08:00:00Z,pm25,8.5,µg/m,39.7889,-86.2147,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Indiana Dept. of Environmental Management""}]"
US,Indiana,Indianapolis,2019-10-02T07:00:00Z,pm25,21.4,µg/m,39.7889,-86.2147,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Indiana Dept. of Environmental Management""}]"
US,Indiana,Indianapolis,2020-10-02T04:00:00Z,pm25,4.7,µg/m,39.7889,-86.2147,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Indiana Dept. of Environmental Management""}]"
US,Iowa,Iowa City,2018-10-02T19:00:00Z,pm25,2,µg/m,41.658195,-91.503471,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Iowa DNR""}]"
US,Iowa,Iowa City,2019-10-02T19:00:00Z,pm25,2.8,µg/m,41.658195,-91.503471,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Iowa DNR""}]"
US,Iowa,Iowa City,2020-10-02T04:00:00Z,pm25,3.5,µg/m,41.658195,-91.503471,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Iowa DNR""}]"
US,Kansas,Kansas City,2018-10-02T14:00:00Z,pm25,12.7,µg/m,38.8386,-94.6356,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Kansas Dept. of Health and Environment""}]"
US,Kansas,Kansas City,2019-10-02T14:00:00Z,pm25,10.1,µg/m,38.8386,-94.6356,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Kansas Dept. of Health and Environment""}]"
US,Kansas,Kansas City,2020-10-01T20:00:00Z,pm25,3.1,µg/m,38.8386,-94.6356,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Kansas Dept. of Health and Environment""}]"
US,Kentucky,Lexington,2018-10-02T14:00:00Z,pm25,10.4,µg/m,38.065,-84.5,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Kentucky DEP""}]"
US,Kentucky,Lexington,2019-10-02T07:00:00Z,pm25,13.6,µg/m,38.065,-84.5,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Kentucky DEP""}]"
US,Kentucky,Lexington,2020-10-02T04:00:00Z,pm25,3.4,µg/m,38.065,-84.5,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Kentucky DEP""}]"
US,Louisiana,New Orleans,2018-10-02T15:00:00Z,pm25,17.7,µg/m,29.9431,-89.9761,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Louisiana Department of Environmental Quality""}]"
US,Louisiana,New Orleans,2019-10-02T19:00:00Z,pm25,17.5,µg/m,29.9431,-89.9761,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Louisiana Department of Environmental Quality""}]"
US,Louisiana,New Orleans,2020-09-29T18:00:00Z,pm25,4.8,µg/m,29.9431,-89.9761,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Louisiana Department of Environmental Quality""}]"
US,Maine,Portland,2018-10-02T09:00:00Z,pm25,5,µg/m,43.660248,-70.268967,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Maine Dept. of Environmental Protection""}]"
US,Maine,Portland,2019-10-03T03:00:00Z,pm25,5,µg/m,43.660248,-70.268967,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Maine Dept. of Environmental Protection""}]"
US,Maine,Portland,2020-10-02T04:00:00Z,pm25,11,µg/m,43.660248,-70.268967,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Maine Dept. of Environmental Protection""}]"
US,Maryland,Baltimore,2018-10-02T05:00:00Z,pm25,6,µg/m,39.41,-76.2967,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Maryland Department of the Environment""}]"
US,Maryland,Baltimore,2019-10-02T02:00:00Z,pm25,5,µg/m,39.41,-76.2967,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Maryland Department of the Environment""}]"
US,Maryland,Baltimore,2020-10-01T22:00:00Z,pm25,7,µg/m,39.41,-76.2967,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Maryland Department of the Environment""}]"
US,Massachusetts,Boston,2018-10-02T16:00:00Z,pm25,5.8,µg/m,43.075371,-70.748017,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New Hampshire"
US,Massachusetts,Boston,2019-10-02T20:00:00Z,pm25,4.6,µg/m,43.075371,-70.748017,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New Hampshire"
US,Massachusetts,Boston,2020-10-02T04:00:00Z,pm25,10.5,µg/m,43.075371,-70.748017,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New Hampshire"
US,Michigan,Detroit,2018-11-21T07:00:00Z,pm25,16.9,µg/m,42.312158,-83.091943,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Michigan"
US,Michigan,Detroit,2019-10-02T23:00:00Z,pm25,5.6,µg/m,42.312158,-83.091943,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Michigan"
US,Michigan,Detroit,2020-10-02T00:00:00Z,pm25,2.2,µg/m,42.312158,-83.091943,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Michigan"
US,Minnesota,Minneapolis,2018-10-02T10:00:00Z,pm25,3,µg/m,44.7383,-93.2372,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Minnesota"
US,Minnesota,Minneapolis,2019-10-02T13:00:00Z,pm25,3,µg/m,44.7383,-93.2372,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Minnesota"
US,Minnesota,Minneapolis,2020-10-02T04:00:00Z,pm25,4,µg/m,44.7383,-93.2372,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Minnesota"
US,Mississippi,Jackson,2018-10-02T19:00:00Z,pm25,12.1,µg/m,42.1941,-122.7086,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Oregon Dept. of Environmental Quality""}]"
US,Mississippi,Jackson,2019-10-02T10:00:00Z,pm25,7.8,µg/m,42.1941,-122.7086,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Oregon Dept. of Environmental Quality""}]"
US,Mississippi,Jackson,2020-10-02T04:00:00Z,pm25,19.1,µg/m,42.1941,-122.7086,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Oregon Dept. of Environmental Quality""}]"
US,Missouri,St. Louis,2018-10-02T19:00:00Z,pm25,9.3,µg/m,38.65643,-90.18977,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Missouri Department of Natural Resources""}]"
US,Missouri,St. Louis,2019-10-03T04:00:00Z,pm25,9.1,µg/m,38.65643,-90.18977,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Missouri Department of Natural Resources""}]"
US,Missouri,St. Louis,2020-10-02T04:00:00Z,pm25,4.8,µg/m,38.65643,-90.18977,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Missouri Department of Natural Resources""}]"
US,Montana,Helena,2018-10-02T11:00:00Z,pm25,6.1,µg/m,46.6588,-112.0131,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Montana DEQ""}]"
US,Montana,Helena,2019-10-02T17:00:00Z,pm25,12.3,µg/m,46.6588,-112.0131,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Montana DEQ""}]"
US,Montana,Helena,2020-10-02T04:00:00Z,pm25,8.4,µg/m,46.6588,-112.0131,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Montana DEQ""}]"
US,Nebraska,Omaha,2018-10-02T08:00:00Z,pm25,4.8,µg/m,41.2474,-95.9731,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Montana DEQ""}]"
US,Nebraska,Omaha,2019-10-02T22:00:00Z,pm25,5.5,µg/m,41.2474,-95.9731,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Montana DEQ""}]"
US,Nebraska,Omaha,2020-10-02T02:00:00Z,pm25,6,µg/m,41.2474,-95.9731,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Montana DEQ""}]"
US,Nevada,Las Vegas,2018-10-02T15:00:00Z,pm25,3.9,µg/m,36.048705,-115.052942,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Clark County Department of Environment and Sustainability""}]"
US,Nevada,Las Vegas,2019-10-02T15:00:00Z,pm25,6,µg/m,36.048705,-115.052942,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Clark County Department of Environment and Sustainability""}]"
US,Nevada,Las Vegas,2020-10-02T03:00:00Z,pm25,7.2,µg/m,36.048705,-115.052942,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Clark County Department of Environment and Sustainability""}]"
US,New Hampshire,Manchester,2018-10-03T17:00:00Z,pm25,6,µg/m,42.86183,-71.878626,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New Hampshire Dept. of Environmental Services""}]"
US,New Hampshire,Manchester,2019-10-03T03:00:00Z,pm25,2,µg/m,42.86183,-71.878626,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New Hampshire Dept. of Environmental Services""}]"
US,New Hampshire,Manchester,2020-10-01T18:00:00Z,pm25,4.8,µg/m,42.86183,-71.878626,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New Hampshire Dept. of Environmental Services""}]"
